Week,Day,Date,Winner/tie,,Loser/tie,,Pts,Pts
WildCard,Sat,2014-01-04,Indianapolis Colts,,Kansas City Chiefs,boxscore,45,44
WildCard,Sat,2014-01-04,New Orleans Saints,@,Philadelphia Eagles,boxscore,26,24
WildCard,Sun,2014-01-05,San Diego Chargers,@,Cincinnati Bengals,boxscore,27,10
WildCard,Sun,2014-01-05,San Francisco 49ers,@,Green Bay Packers,boxscore,23,20
Division,Sat,2014-01-11,New England Patriots,,Indianapolis Colts,boxscore,43,22
Division,Sat,2014-01-11,Seattle Seahawks,,New Orleans Saints,boxscore,23,15
Division,Sun,2014-01-12,Denver Broncos,,San Diego Chargers,boxscore,24,17
Division,Sun,2014-01-12,San Francisco 49ers,@,Carolina Panthers,boxscore,23,10
ConfChamp,Sun,2014-01-19,Denver Broncos,,New England Patriots,boxscore,26,16
ConfChamp,Sun,2014-01-19,Seattle Seahawks,,San Francisco 49ers,boxscore,23,17
SuperBowl,Sun,2014-02-02,Seattle Seahawks,N,Denver Broncos,boxscore,43,8